bbl,month,address,sensor_site,distance_miles,sensor_lat,sensor_lon,pm25_monthly_mean,pm25_monthly_min,pm25_monthly_max,total_hours
1000100014,2024-06,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.909125,4.8675,26.427083333333332,720
1000100014,2024-07,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,10.679677419354839,5.254166666666666,25.365,744
1000100014,2024-08,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.875779569892472,4.01,18.66208333333333,744
1000100014,2024-09,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.489097222222222,3.6266666666666665,12.495,720
1000100014,2024-10,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.331438172043011,3.294583333333333,12.060416666666667,744
1000100014,2024-11,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.164333333333333,3.5966666666666662,20.23375,720
1000100014,2024-12,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.090120967741935,3.7583333333333333,18.079166666666666,744
1000100014,2025-01,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.5828494623655915,3.4791666666666665,12.030000000000001,744
1000100014,2025-02,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.299940476190477,3.6612500000000003,10.203333333333333,672
1000100014,2025-03,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.132647849462365,3.342916666666667,13.319166666666666,744
1000100014,2025-04,"33 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.101475694444445,3.2608333333333337,13.93,576
1000100023,2024-01,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,8.849086021505377,4.6987499999999995,19.54125,744
1000100023,2024-02,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.58889367816092,5.306666666666667,23.51375,696
1000100023,2024-03,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,8.637695402298851,4.757083333333333,23.54875,682
1000100023,2024-04,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.449847222222221,4.989583333333333,22.16875,720
1000100023,2024-05,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,11.80220430107527,6.24875,23.82375,744
1000100023,2024-06,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.909125,4.8675,26.427083333333332,720
1000100023,2024-07,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,10.679677419354839,5.254166666666666,25.365,744
1000100023,2024-08,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.875779569892472,4.01,18.66208333333333,744
1000100023,2024-09,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.489097222222222,3.6266666666666665,12.495,720
1000100023,2024-10,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.331438172043011,3.294583333333333,12.060416666666667,744
1000100023,2024-11,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.164333333333333,3.5966666666666662,20.23375,720
1000100023,2024-12,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.109314516129032,3.7583333333333333,18.079166666666666,744
1000100023,2025-01,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.5828494623655915,3.4791666666666665,12.030000000000001,744
1000100023,2025-02,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.299940476190477,3.6612500000000003,10.203333333333333,672
1000100023,2025-03,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.132647849462365,3.342916666666667,13.319166666666666,744
1000100023,2025-04,"1 Whitehall St, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,6.101475694444445,3.2608333333333337,13.93,576
1000130001,2024-01,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,8.849086021505377,4.6987499999999995,19.54125,744
1000130001,2024-02,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.58889367816092,5.306666666666667,23.51375,696
1000130001,2024-03,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,8.637695402298851,4.757083333333333,23.54875,682
1000130001,2024-04,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.449847222222221,4.989583333333333,22.16875,720
1000130001,2024-05,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,11.80220430107527,6.24875,23.82375,744
1000130001,2024-06,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.909125,4.8675,26.427083333333332,720
1000130001,2024-07,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,10.679677419354839,5.254166666666666,25.365,744
1000130001,2024-08,"1 Broadway, New York, NY 10004",Broadway/35th St,0.5,40.75069,-73.98783,9.875779569892472,4.01,18.66208333333333,744
