bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Office_Gas_Usage_Current_Jan_kBtu,Office_Gas_Cost_Current_Jan_USD,Office_Gas_Usage_Current_Feb_kBtu,Office_Gas_Cost_Current_Feb_USD,Office_Gas_Usage_Current_Mar_kBtu,Office_Gas_Cost_Current_Mar_USD,Office_Gas_Usage_Current_Apr_kBtu,Office_Gas_Cost_Current_Apr_USD,Office_Gas_Usage_Current_May_kBtu,Office_Gas_Cost_Current_May_USD,Office_Gas_Usage_Current_Jun_kBtu,Office_Gas_Cost_Current_Jun_USD,Office_Gas_Usage_Current_Jul_kBtu,Office_Gas_Cost_Current_Jul_USD,Office_Gas_Usage_Current_Aug_kBtu,Office_Gas_Cost_Current_Aug_USD,Office_Gas_Usage_Current_Sep_kBtu,Office_Gas_Cost_Current_Sep_USD,Office_Gas_Usage_Current_Oct_kBtu,Office_Gas_Cost_Current_Oct_USD,Office_Gas_Usage_Current_Nov_kBtu,Office_Gas_Cost_Current_Nov_USD,Office_Gas_Usage_Current_Dec_kBtu,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Usage_Current_Jan_kBtu,Office_Steam_Cost_Current_Jan_USD,Office_Steam_Usage_Current_Feb_kBtu,Office_Steam_Cost_Current_Feb_USD,Office_Steam_Usage_Current_Mar_kBtu,Office_Steam_Cost_Current_Mar_USD,Office_Steam_Usage_Current_Apr_kBtu,Office_Steam_Cost_Current_Apr_USD,Office_Steam_Usage_Current_May_kBtu,Office_Steam_Cost_Current_May_USD,Office_Steam_Usage_Current_Jun_kBtu,Office_Steam_Cost_Current_Jun_USD,Office_Steam_Usage_Current_Jul_kBtu,Office_Steam_Cost_Current_Jul_USD,Office_Steam_Usage_Current_Aug_kBtu,Office_Steam_Cost_Current_Aug_USD,Office_Steam_Usage_Current_Sep_kBtu,Office_Steam_Cost_Current_Sep_USD,Office_Steam_Usage_Current_Oct_kBtu,Office_Steam_Cost_Current_Oct_USD,Office_Steam_Usage_Current_Nov_kBtu,Office_Steam_Cost_Current_Nov_USD,Office_Steam_Usage_Current_Dec_kBtu,Office_Steam_Cost_Current_Dec_USD,Office_Elec_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD
1000200016,"55 Broadway, New York, NY 10006",298081,354072,0.842,SC9 Rate I (Standard),172,6.85,155,6.42,172,6.85,1260,34.38,35,3.39,0,,0,,0,,0,,0,,0,,0,,1487662,84724.47,1282500,73040.2,924274,52638.72,488657,27829.71,215343,12264.09,35509,2022.29,0,,0,,0,,0,,692050,39413.23,1317351,75025.02,973954,32124,965214,33377.05,990275,30916.06,897420,28333.27,1020582,34257.05,1229805,47463.26,1110611,43298.13,1124990,45005.72,1027971,40746.73,957675,31200.94,913494,30636.77,978179,30606.39
1000210001,"61 Broadway, New York, NY 10006",633379,709506,0.893,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2955268,168306.72,2386197,135897.32,1384178,78830.91,408820,23282.88,89853,5117.26,3399,193.58,4988,284.07,6186,352.3,7875,448.49,230702,13138.81,1252705,71343.33,2100419,119621.85,823487,27238.61,721167,25064.72,1615560,50120.59,1212865,38116.2,1249773,41837.49,1404535,54135.57,1651114,64126.03,1552948,61935.59,1387999,54841.89,1166797,37904.6,1047498,35057.43,1111349,34704.89
1000210004,"65 Broadway, New York, NY 10006",330184,335184,0.985,SC9 Rate II (Large TOD),4681,120.93,16561,421.49,20520,521.66,4280,110.78,18350,466.75,18260,464.48,18783,477.71,18872,479.96,20547,522.34,52131,1321.41,39797,1009.36,37947,962.56,13422056,764405.2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1719168,56319.73,1511100,51970.13,1832564,56785.49,1746912,54678.65,1804888,60197.81,1847468,71049.56,2154517,83524.32,2116938,84246.84,1893213,74621.1,1886631,60979.75,1848734,61489.43,1842135,57195.9
1000220013,"26 Broadway, New York, NY 10004",856889,200000,1,SC9 Rate I (Standard),12349,314.93,10609,270.91,12132,309.44,3821,99.17,4157,107.67,1981,52.62,2007,53.28,1910,50.82,967,26.97,6871,176.34,11351,289.68,12706,323.96,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1797882,58875.43,1625003,55849.71,1858666,57587.17,1508104,47272.48,1628766,54372.61,1769177,68059.91,2093083,81157,2193556,87277.82,1986758,78283.4,1704601,55144.56,1674196,55731.59,1653530,51391.31
1000220017,"32 Broadway, New York, NY 10004",134940,145494,0.927,SC9 Rate I (Standard),62783,1590.91,57127,1447.81,75261,1906.6,65089,1649.25,67390,1707.47,55550,1407.91,58828,1490.85,67194,1702.51,61577,1560.4,69571,1762.65,63936,1620.08,67720,1715.82,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,830425,27463.88,750595,26067.04,806080,25258.83,718524,22785.15,731501,24695.75,784336,30452.43,872102,34107.35,874732,35105.6,815118,32413.5,761407,24909.33,759307,25550.3,800703,25144.31
1000220020,"42 Broadway, New York, NY 10004",389917,405244,0.962,SC9 Rate I (Standard),2198884,45110.46,2147092,44048.72,1998634,41005.33,844403,17343.59,394982,8130.46,157777,3267.76,184483,3815.23,175671,3634.59,117828,2448.81,246465,5085.87,1678812,34448.98,1879112,38555.13,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,882325,29148.98,793124,27515.6,915253,28611.89,796840,25213.98,814914,27454.62,863668,33481.83,1051999,41039.55,1039716,41632.31,892150,35429.32,792491,25905.76,860669,28894.13,907885,28442.99
1000220024,"50 Broadway, New York, NY 10004",279778,300676,0.93,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,748466,24802.82,660980,23014.72,712533,22385.7,607615,19345.52,599201,20319.95,666618,25957.21,828750,32436.81,788800,31706.16,696553,27771.66,601139,19771.74,605579,20478.96,624930,19734.64
1000220028,"52 Broadway, New York, NY 10004",278310,345540,0.805,SC9 Rate I (Standard),35566,902.32,32962,836.44,33091,839.7,18310,465.74,13957,355.61,12731,324.59,13837,352.58,13185,336.08,12432,317.03,15118,384.99,27810,706.09,33833,858.47,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1075089,35407.67,964032,33336.79,1079660,33661.36,959951,30272.55,1033801,34694.26,1044243,40377.33,1113290,43401.36,709613,28573.55,1024820,40623.37,949218,30929.84,892429,29941.86,951201,29776.1
1000240001,"60 Broad St, New York, NY 10004",974984,1072213,0.909,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4741493,169565.96,3866998,138292.14,1756144,62803.47,970391,34703.26,1965961,70306.98,3438260,122959.55,3016011,107859.02,3897673,139389.14,2211317,79081.44,1210791,43300.48,3007155,107542.31,3663306,131007.68,2545718,83156.3,2863312,98026.97,2461357,76097.76,2208274,68986.92,2406770,80104.94,2471282,94870.74,3180908,123075.59,2788876,110828.47,2677222,105315.17,2163038,69840.31,2579937,85611.1,2399978,74364.34
1000240029,"30 Broad St, New York, NY 10004",362072,370000,0.979,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,784730,44691.49,621573,35399.47,375605,21391.24,98035,5583.23,22726,1294.28,1470,83.72,0,,0,,1052,59.91,16678,949.84,317884,18103.95,598166,34066.41,1204980,39624.99,1046517,36146.26,1178739,36704.4,952731,30048.64,982037,32982.18,978434,37864.32,1226884,47778.63,1165837,46621.61,1041621,41281.13,893167,29133.05,916079,30722.05,899321,28179.42
